Image_A,Image_B,SSIM,Path_A,Path_B,Folder_A,Folder_B,Folder_Path_A,Folder_Path_B,Same_Folder,Type
IMG_0946.JPG,IMG_0010.JPG,0.6876634124321062,/Users/vincent/workspace/sku/Unit0001/IMG_0946.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0010.JPG,Unit0001,Unit0002,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0002,False,跨文件夹
IMG_0012.JPG,IMG_0011.JPG,0.6876205936107831,/Users/vincent/workspace/sku/Unit0002/IMG_0012.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0011.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
IMG_0946.JPG,IMG_0939.JPG,0.6852998746301532,/Users/vincent/workspace/sku/Unit0001/IMG_0946.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0939.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0945.JPG,IMG_0938.JPG,0.6826862566704233,/Users/vincent/workspace/sku/Unit0001/IMG_0945.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0938.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0943.JPG,IMG_0946.JPG,0.676831505211085,/Users/vincent/workspace/sku/Unit0001/IMG_0943.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0946.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0021.JPG,IMG_0020.JPG,0.6767454301125068,/Users/vincent/workspace/sku/Unit0003/IMG_0021.JPG,/Users/vincent/workspace/sku/Unit0003/IMG_0020.JPG,Unit0003,Unit0003,/Users/vincent/workspace/sku/Unit0003,/Users/vincent/workspace/sku/Unit0003,True,同一文件夹内
IMG_0024.JPG,IMG_0025.JPG,0.6721840370218286,/Users/vincent/workspace/sku/Unit0003/IMG_0024.JPG,/Users/vincent/workspace/sku/Unit0003/IMG_0025.JPG,Unit0003,Unit0003,/Users/vincent/workspace/sku/Unit0003,/Users/vincent/workspace/sku/Unit0003,True,同一文件夹内
IMG_0015.JPG,IMG_0010.JPG,0.6712672077191505,/Users/vincent/workspace/sku/Unit0002/IMG_0015.JPG,/Users/vincent/workspace/sku/Unit0002/IMG_0010.JPG,Unit0002,Unit0002,/Users/vincent/workspace/sku/Unit0002,/Users/vincent/workspace/sku/Unit0002,True,同一文件夹内
IMG_0940.JPG,IMG_0945.JPG,0.6712083883840202,/Users/vincent/workspace/sku/Unit0001/IMG_0940.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0945.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
IMG_0946.JPG,IMG_0945.JPG,0.6689574940381667,/Users/vincent/workspace/sku/Unit0001/IMG_0946.JPG,/Users/vincent/workspace/sku/Unit0001/IMG_0945.JPG,Unit0001,Unit0001,/Users/vincent/workspace/sku/Unit0001,/Users/vincent/workspace/sku/Unit0001,True,同一文件夹内
